Code,Term,Explanation
AYU,vyAdhi-viniScayaH,"-,-,diagnostic conditions"
DIS,vikAraH,"-,-,disease/disorder"
A,doShavaiShamyam,"-,-,derangement of dōṣa"
AA,vAtavyAdhiH,"-,-,disorders due to vāta"
AAA,doShAvasthA (vAta),"-,-,morbid state of dōṣa"
SR11 (AAA-1),vAtasa~jcayaH,"-,It is characterized by impaired movements of vāta, fullness of abdomen and aversion to factors causing of increase of vāta such as cold. This may be explained by accumulation of vatadosha at the designated site to a moderate level resulting in accumulation.,Accumulation of Vata pattern (TM2)"
SR12 (AAA-2),vAtavRuddhiH,"-,It is characterized by roughness or hoarseness of voice, emaciation, blackish discoloration of body, twitching in various parts of body, desire for warmth, insomnia, reduced physical strength, hard stools. This may be explained by marked increase of vatadosha functions and consequent physiological and pathological ramifications.,Aggravation of vata pattern (TM2)"
SR10 (AAA-2.1),vAtaprakopaH,"-,It is characterized by abdominal pain and increased gaseous movements in abdomen. This may be explained by aggravation of vatadosha at its designated site and preparing to cause certain morbidity.,Vitiation of vāta pattern (TM2)"
SR10  (AAA-2.1),vAtaprakopaH,"-,It is characterized by abdominal pain and increased gaseous movements in abdomen. This may be explained by aggravation of vatadosha at its designated site and preparing to cause certain morbidity.,Vitiation of vāta pattern (TM2)"
AAA-2.2,prANavAtakopaH,"-,the disorder is characterized by hikkā [hiccup], śvāsa [breathlessness/difficult breathing], cakṣurādīnāmupaghāta [impairment of sense organs viz. eye], pīnasa [cold, catarrh], ardita [facial paralysis], tr̥ṭ [thirst], kāsaḥ [cough],vitiated prāṇavāyu"
AAA-2.3,udAnavAtakopaH,"-,the disorder is characterized by kaṇṭharōdha [choking of throat/stopping or lowering voice], manōbhraṁśa [mental disturbance], chardiḥ [vomiting], arōcakaḥ [tastelessness], pīnasa [cold, catarrh], galagaṇḍaḥ [glandular swelling in jaw, neck and throat region /goitre], jatrūrdhvarōga [diseases of body above collar bone/diseases of head and neck],vitiated udānavāyu"
AAA-2.4,vyAnavAtakopaH,"-,the disorder is characterized by puṁstvabhraṁśa [decrease in virility/semen], utsāhabhraṁśa [decrease/lack of enthusiasm/energy], balabhraṁśaḥ [diminution of physical strength], śōpha [oedema], cittōtplava [excitement], jvaraḥ [fever], sarvāṅgarōga [quadriplegia], nistōda [pricking type of pain], rōmaharṣa [horripilation], aṅgasuptatā [numbness of body parts], kuṣṭhaḥ [skin disease], visarpa [spreading cellulitis/erysipelas], sarvāṅgaga rōga [diseases affecting whole body],vitiated vyānavāyu"
AAA-2.5,samAnavAtakopaH,"-,the disorder is characterized by gulmaḥ [palpable glandular enlargment in abdomen/abdominal lump], agnisādaḥ [diminution of agni (digestive power)], atisāra [diarrhoea], śūla [colicky pain in the abdomen], grahaṇī [derangement of agni situated in grahaṇī], pakvāśayajarōga [diseases of/having origin in pakvāśaya], āmāśayajarōgaḥ [diseases of/having origin in āmāśaya],vitiated samānavāyu"
AAA-2.6,apAnavAtakopaH,"-,the disorder is characterized by pakvāśayāśrayarōgaḥ [diseases of pakvāśaya], mūtrapradōṣaḥ [disorders of mūtra/urinary system], śukrapradōṣaḥ [disorders of semen], arśaḥ [haemorrhoids], gudabhraṁśaḥ [rectal prolapse],vitiated apānavāyu"
SR13(AAA-3),vAtaprasaraNam,"-,It is characterized by abnormal movements of vāta, abdominal distension and gurgling sound in the abdomen. This may be explained by spreading of vatadosha from place of accumulation to other parts or entire body.,Spreading of vata pattern (TM2)"
SR14 (AAA-4),vAtakShayaH,"-,It is characterized by sluggishness in activities, reduced talking, lack of interest in activities, loss of consciousness. This may be explained by marked decrease of vatadosha functions and consequent physiological and pathological ramifications.,Depletion of vata pattern (TM2)"
AAB,nAnAtmajavAtavikAraH,"-,-,diseases due only to vitiated vāta"
SQ00 (AAB-1),atipralApaH (kEvalavAta),"-,It is characterised by irrelevant and irrational talk, mental confusion. This may be explained by: (a) Vitiation of Vata affecting motor and intellectual faculties.,Delirium disorder (TM2)"
SQ05(AAB-2),anavasthitacittatvam (kEvalavAta),"-,It is characterised by difficulty to concentrate, fickleness, confusion. This may be explained by: (a) Vitiation of vata affecting the mind.,Lack of concentration, confusion disorder (TM2)"
AAB-3 (SP9Y),a~ggamardaH (kEvalavAta),"-,-,Generalized body ache disorder (TM2) ⇒"
AAB-4 (SP9Y),a~ggaSuShkatA (kEvalavAta),"-,-,Wasting of body part(s) disorder (TM2) ⇒"
SP21 (AAB-5),a~ggaviBraMSaH (kEvalavAta),"-,It is characterised by atony or flaccidity of the joints, muscles and body parts. This may be explained by: (a) Obstructed or aggravated vata causes loss of functions, flaccidity.,Atony disorder (TM2)"
AAB-6,arditaH (kEvalavAta),"-,-,facial paralysis (due only to vātadōṣa)"
SM1P (AAB-7),arasaj~jatA (kEvalavAta),"-,It is characterised by loss of taste which may be associated with loss of smell, anorexia, increased secretion of saliva. This may be explained by: (a) Impairment of digestive and metabolic factors affecting kapha residing on the tongue.,Ageusia disorder (TM2)"
SM1P (AAB-7),arasaj~jatA (kEvalavAta),"-,It is characterised by loss of taste which may be associated with loss of smell, anorexia, increased secretion of saliva. This may be explained by: (a) Impairment of digestive and metabolic factors affecting kapha residing on the tongue.,Ageusia disorder (TM2)"
AAB-8,aSabdaSravaNam (kEvalavAta),"-,-,tinnitus (due only to vātadōṣa)"
AAB-9,asvapnaH (kEvalavAta),"-,-,insomnia (due only to vātadōṣa)"
AAB-10,akShiBedaH (kEvalavAta),"-,-,tearing pain of eye (due only to vātadōṣa)"
AAB-11,akShivyudAsaH (kEvalavAta),"-,-,ptosis of eye ball (due only to vātadōṣa)"
AAB-12,akShiSUlaH (kEvalavAta),"-,-,piercing type of eye pain (due only to vātadōṣa)"
AAB-13,ATopaH (kEvalavAta),"-,-,borborygmus (due only to vātadōṣa)"
AAB-14,AkShepakaH (kEvalavAta),"-,-,clonic convulsion (due only to vātadōṣa)"
SK84 (AAB-15),uccaiHSrutiH (kEvalavAta),"-,It is characterised by intolerance to loud sounds. This may be explained by: (a) Increased vatadosha, pittadosha leading to hypersensitivity of ear.,Dysacousia disorder (TM2)"
