Code,Term,RegionalTerm,Short_definition,Long_definition,Name English
A,"doShavaiShamyam, Vaḷarcitai Māṟṟa Nōykaḷ, Amrāḍ-i-Niẓām-i-A‘ṣāb-o-Dimāgh","दोषवैषम्यम्, வளர்சிதை மாற்ற நோய்கள், امراض نظام اعصاب و دماغ","-, Metabolic disorders, Diseases of Nervous System",-,derangement of dōṣa
A-1,Bayḍa-o-Khūdha,بيضہ و خوذہ,Organic headache/Helmet headache,A severe type of chronic headache which involves the whole head. The patient feels that someone is hammering his head. Most of the physicians are of the view that both these types are same but Dā’ūd Anṭākī differentiates them by the site of pain as Bayḍa is a headache which occurs in the central part of head while Khūdha is a headache which is experienced on the periphery of head.,
A-1.1,Bayḍa-o-Khūdha Damawī,بيضہ و خوذہ دموی,Sanguineous helmet headache,A condition of severe chronic continuous headache caused by the predominance of sanguine humour. This condition is characterised by redness of face and other features of predominance of sanguine along with specific clinical features of helmet headache,
A-1.2,Bayḍa-o-Khūdha Ṣafrāwī,بيضہ و خوذہ صفراوی,Bilious helmet headache,A condition of severe chronic continuous headache caused by the  predominance of yellow bile. This condition is characterised by burning sensation and sensation of piercing in the head and other features of predominance of yellow bile along with specific clinical features of helmet headache,
A-1.3,Bayḍa-o-Khūdha Balghamī,بيضہ و خوذہ بلغمی,Phlegmatic helmet headache,"A condition of severe chronic continuous headache caused by the predominance of phlegm. This condition is characterised by heaviness of head, whitish discoloration of body, lacrimation and puffiness of face along with specific clinical features of helmet headache",
A-1.4,Bayḍa-o-Khūdha Sawdāwī,بيضہ و خوذہ سوداوی,Melancholic helmet headache,A condition of severe chronic continuous headache caused by thepredominance of black bile.This condition is characterised by darkening of body colour and other features of predominance of black bile along with specific clinical features of helmet headache,
A-1.5,Bayḍa-o-Khūdha Bukhārī-o-Rīḥī,بیضہ و خوذہ بخاری و ریحی,vaporous and gaseous helmet headache,A condition of severe chronic continuous headache caused by the predominance of vapours and gases. This condition is  characterised by feeling of tightness in the head and shifting of pain along with specific clinical features of helmet headache,
A-10,Māshrā,ماشریٰ,Erysipelas,Māshrā is a Suryānī word which literally means acute inflammation of any part of body due to predominance of Dam (blood/sanguine) and Ṣafrā’ (yellow bile). Ancient Unani physicians have used this word for the inflammation of face and forehead. Ibn Sīnā had included this term for the acute inflammation of liver which is caused exclusively by the predominance of Ṣafrā’ (yellow bile). But most recent Unani physicians describe this as an acute inflammation of face and forehead in which the face becomes red and swollen accompanied with pain and itching.,
A-11,Mā’ al-Ra’s,ماء الراس,Hydrocephalus,"Accumulation of fluid in the head. This can be of two types, either the accumulation is beneath the scalp or inside the head. If it occurs inside the head, the patient experiences heaviness of head, eyes remain open with continuous lacrimation and this is usually a fatal condition. When the fluid is accumulated beneath the scalp due to bad obstetric procedure, it is usually curable and subsides gradually (caput succeedenum).",
A-12,Subāt,سبات,Coma,A prolonged phase of deep unconsciousness.,
A-12.1,Subāt Sahrī,سبات سهرى,Coma vigil,A type of deep sleep with phases of consciousness in between. This type of unconsciousness is due to the predominance of Balgham (phlegm). According to Qarshī and most Unani physicians this is a type of inflammation of brain which is due to predominance of Ṣafrā’ (yellow bile) and Balgham (phlegm).,
A-12.2,Subāt Bārid,سبات بارد,coma due to coldness of brain,A type of coma or unconsciousness which is caused either by the exposure of cold environment or by the intake of narcotic drugs.,
A-12.3,Subāt Ruṭūbī,سبات رطوبى,coma due to moistness of brain,A type of coma which is caused by the predominance of Ruṭūbat (moistness) in the body which in turn causes hindrance in the process of oxygenation.,
A-12.4,Subāt Damawī,سبات دموي,Sanguineous coma,A type of coma which is caused by the predominance of Dam (blood/sanguine) in the body.,
A-12.5,Subāt Bukhārī,سبات بخارى,Coma due to vapours,"A type of coma which is caused by the gases produced by bad humours of stomach, lungs, intestine and uterus.",
A-12.6,Subāt Ḍu‘fī,سبات ضعفي,coma due to weakness of brain,A type of coma which is caused by the weakness of brain and nerves.,
A-12.7,Subāt Ḍarbī,سبات ضربى,Traumatic coma,A type of coma due to injury of head and brain especially of temporal region.,
A-13,Sahar,سهر,Insomnia,A disease in which the patient remains in wakeful state all the time.,
A-13.1,Sahar Yābis,سهر يابس,Insomnia due to dryness,A state of wakefulness which is caused by the predominance of Yubūsat (dryness) either in terms of Mādda or matter i.e. Sawdā’ (black bile) and Ṣafrā’ (yellow bile) or simple.,
A-13.2,Sahar Ruṭūbī,سهر رطوبى,Insomnia due to moistness,A state of wakefulness which is due to accumulation of Ruṭūbat (moistness) in the brain.,
A-14,Nisyān,نسيان,Amnesia,A state of forgetfulness.,
A-14.1,Nisyān Bārid Raṭb,نسيان باردرطب,forgetfulness due to coldness and moistness/ Reterograde Amnesia,A state of forgetfulness caused by the predominance of Burūdat (coldness) or Ruṭūbat (moistness) which is either simple or compound.,
A-14.2,Nisyān Bārid Yābis,نسيان بارد يابس,forgetfulness due to coldness and dryness/Anterograde Amnesia,A state of forgetfulness caused by the predominance of Burūdat (coldness) or Yubūsat (dryness).,
A-14.3,Nisyān Ḥārr Yābis,نسيان حار يابس,forgetfulness due to heat and dryness,A state of forgetfulness which is caused by the predominance of Yubūsat (dryness) in the brain tissues. This state is incurable if there is a decrease in tissue of brain.,
A-14.4,Halāka al-Dhikr,ھلاکۃ الذکر,total loss of memory,A condition of complete loss of memory due to predominance of coldness and moistness or coldness and dryness in the hind brain. This condition is characterised by,
A-15,Ikhtlāṭ al-Dhahn,اختلاط الذهن,mental derangement,A confused state of mind not reaching the level of Junūn. This is also a type of melancholia.,
A-15.1,I‘tilāl al-Takhayyul/ Fasād-i-Takhayyul,اعتلال التخیّل/فساد تخیّل,defective imagination,"A mind disorder that is characterized by a deficit, weakness, or complete loss of retentive imagination.",
A-15.2,I‘tilāl al-Fikr/ Fasād-i-Fikr,اعتلال الفکر/فساد فکر,abnormal thinking,A type of mind disorder that is characterized by a dyfunction in cogitation and thinking process that prevents deducting a conclusion from what is provided to the mind.,
A-15.3,Fikr Radī,فکر ردی,ill thought,incidence of ill thought is a feature of predominance of black bile,
A-16,Hadhayān,هذيان,Delirium,A state of stupor in which the patient talks continuously and irrelevantly.,
A-17,Ḥumq,حمق,Dementia,The weakness of the thinking faculties of brain which in turn leads to distraction of mind. These patients can not make a balanced state or equilibrium in social environment. The patient usually makes himself busy in doing irrelevant chores similar to children.,
A-18,Ru‘ūnat,رعونت,egomania,A type of weakness of the thinking faculties of brain in which the patient becomes egoistic. The patient usually expresses violent behaviour and feels himself superior to others.,
A-19,Mālankhūliyā,مالنخوليا,Melancholia,"This word is a combination of two words. Mālan, meaning black and Khūliyā, meaning Ṣafrā’ (yellow bile). According to ancient Unani physicians this is a form of severe depression caused by the accumulation of Muḥtariq Sawdā’ (burnt black bile) or Muḥtariq Ṣafrā’ (burnt yellow bile) in the brain. Patients experience false perceptions.",
A-19.1,Mālankhūliyā Damawī,مالنخوليا دموي,Sanguineous melancholia,"A type of melancholia caused by the accumulation of Muḥtariq Dam (burnt sanguine) in the brain. It is characterized by redness of eyes, pulsus magnus and confused state of mind along with feeling of happiness.",
A-19.2,Mālankhūliyā Balghamī,مالنخوليا بلغمي,Phlegmatic melancholia,"A type of melancholia caused by the accumulation of Muḥtariq Balgham (burnt phlegm) in brain. It is characterized by laziness, comparatively cold and clammy skin along with other features of melancholia.",
A-19.3,Mālankhūliyā Ṣafrāwī,مالنخوليا صفراوي,Bilious melancholia,"A type of melancholia caused by the accumulation of Muḥtariq Ṣafrā’ (burnt yellow bile) in brain. It is characterized by insanity, anger, delirium, restlessness and insomnia.",
A-19.4,Mālankhūliyā Sawdāwī,مالنخوليا سوداوي,Melancholic melancholia,"A type of melancholia caused by the accumulation of Muḥtariq Sawdā’ (burnt black bile) and Sawdā’ (black bile) in the brain. It is characterized by fear, disturbing thoughts, and crying disposition",
A-19.5,Quṭrub/ ‘Illa al-Dhi’b/ Junūn Dhi’bī,قطرب/ علة الذئب/ جنون ذئبي,Lycanthropy,"A type of melancholia caused by Muḥtariq Ṣafrā’ (burnt yellow bile). It is a chronic condition as its causative humour is more viscous and acute in nature. In this condition patient likes to live in isolation. During the daytime he stays in graveyards and comes out at night. He becomes irritative, emaciated and pale. Sometimes, he attacks other persons due to irritation. He makes noises resembling with dog and cock. Ulcers of calf muscles are also observed in these patients.",
