Code,Term,Explanation
SID,Siddha,
DIS,Disorder,
A,Vaḷarcitai Māṟṟa Nōykaḷ,
AA,Kallīral Nōy,
AAA,Vaḷi,
AAA1.1,Vaḷi Kallīral Nōy,"Hepatomegaly due to vali, if chronic leads to anaemia It is characterized by fever, emaciation, blackish discoloration of the body, abdominal, engorged veins, lymph node enlargement abdomen, neck, chest and inguinal region, decreased blood volume, pallor and peripheral edema leading to fatal. It is explaine"
AAB,Aẕal,
AAB1.1,Aẕal Kallīral Nōy,"Hepatomegaly due to azhal, if chronic leads to ascites It is characterized by full blown icterus, bitter taste, bilious vomiting, shrunken face, peripheral oedema and pallor. It is explained by increased Aẕal influencing iyam and vali. Among the seven Uṭaṟtātukkaḷ Cāram, Cennīr, Ūṉ and Koẕuppu gets affect"
AAC,Aiyam,
AAC1,Aiya Kallīral Nōy,"Hepatomegaly due to aiyam, and nodular liver on palpation It is characterised by massive hepatomegaly with nodules, fever,vomiting, headache, oliguria, jaundice, anasarca, pallor followed by ascites. It is explained by increased Aẕal, vali ( vyanan,samanan,abanan,udanan) influencing iyam . Among the seven Uṭaṟ"
AB,Mañcaḷ Nōy,
ABA,Vaḷi,
ABA1.1,Vaḷi Mañcaḷ Nōy,"Jaundice caused by increased by vali It is characterised by dyspepsia, peripheral oedema, emaciation of the body and eyes, diminished vision malaise, loss of appetite and sleep. It is explained by increased vali (vyanan ) influencing Aẕal. Among the seven Uṭaṟtātukkaḷ,Cāram and seneer gets"
ABA1.2,Kumpa Mañcaḷ Nōy,"Jaundice with dysentery It is characterised by heaviness of the body, fatigue, yellowish discoloration of urine, evening sweating, redness of the eyes, flagging like an garland, sleeps in a standing position as peacock, passes stools as in dysentery. It is explained by increased"
ABA1.3,,"Jaundice due to increased vali and aiyam This is characterised by dyspepsia,Pallor of eyes & tongue,dyspnoea on exertion,clubbing of fingers,cough.This can be explained by deranged vali influences iyam affects samanan,udanan,vyanan. Among the seven udal thathukkal saram to seneer is affected."
ABB,Aẕal,
