Code,Term,Explanation
O-6,Ruṭūbat Gharīziyya,"Innate humour,The moistness of an organ which remains in equilibrium, qualitatively and quantitatively, in accordance to the temperament of that organ."
UM,,
UM-DIS,,
A,Amrāḍ-i-Niẓām-i-A‘ṣāb-o-Dimāgh,
A-1,Bayḍa-o-Khūdha,"Organic headache/Helmet headache,A severe type of chronic headache which involves the whole head. The patient feels that someone is hammering his head. Most of the physicians are of the view that both these types are same but <em>Dā’ūd Anṭākī</em> differentiates them by the site of pain as <em>Bayḍa</em> is a headache which occurs in the central part of head while <em>Khūdha</em> is a headache which is experienced on the periphery of head."
A-2,Shaqīqa,"Migraine,A type of severe headache which involves one half of head whether it is right or left. It is an episodic type of pain accompanied with nausea and vomiting."
A-2.1,Shaqīqa Ḥārra,"Acute migraine,A type of migraine which is caused by predominance of <em>Ṣafrā’</em> (yellow bile) and <em>Dam</em> (blood/sanguine) in the body."
A-2.2,Shaqīqa Bārida,"Chronic migraine,A type of migraine which is caused by predominance of <em>Balgham</em> (phlegm) and <em>Sawdā’</em> (black bile) in the body."
A-3,‘Iṣāba,"Frontal headache,It is a type of severe headache which occurs on the forehead above the eyebrow. It can involve either sides or both sides. The intensity of pain gradually reduces with the sunset."
A-4,Ḥiss-i-Dimāgh,
A-5,Sarsām,"Meningitis,The inflammation of meninges of brain or brain itself."
A-5.1,Sarsām Damawī/ Qarānīṭus,"Acute meningitis,The inflammation of meninges of brain due to predominance of <em>Dam</em> (blood/sanguine)."
A-5.2,Sarsām Ṣafrāwī/ Qarānīṭus Khāliṣ,"Bilious meningitis,The inflammation of meninges of brain due to predominance of <em>Ṣafrā’</em> (yellow bile)."
A-5.3,Sarsām Sawdāwī,"Melancholic meningitis,The inflammation of meninges of brain due to predominance of <em>Sawdā’</em> (black bile)."
A-5.4,Sarsām Balghamī/ Lītharghus,"Phlegmatic meningitis,The inflammation of meninges of brain due to predominance of <em>Balgham</em> (phlegm)."
A-5.5,Sarsām Ḥaqīqī,"inflammation of brain or its meninges,The inflammation of meninges or tissues of brain."
A-5.6,Sarsām Ghayr Ḥaqīqī,"Meningismus,In this condition, symptom of <em>Sarsām</em> (meningitis) occurs without any inflammatory changes in the brain. This is caused by other reason e.g. accumulation of <em>Bukhārāt</em> (gases) in the brain."
A-6,Falghamūnī Dimāghī,"Phlegmon,A type of acute inflammation of brain tissues caused by accumulation of putrified blood in the brain."
A-7,Shafāqalūs Dimāghī,"inflammation of vessels of brain,A type of inflammation of the vessels of brain caused by the accumulation of <em>Muḥtariq Dam</em> (burnt blood/sanguine) in the vessels."
A-8,Ḥumra Dimāghiyya,"Cerebral congestion,A type of inflammation of brain tissues caused by the accumulation of <em>Muḥtariq Sawdā’</em> (burnt black bile) or sanguine mixed with <em>Ṣafrā’</em> (yellow bile) in the brain."
A-9,‘Uṭāsh,"sub acute inflammation of brain,Literal meaning of <em> ‘Uṭāsh</em> is excessive thirst. It is a disease which occurs commonly in children. In Unani System of Medicine, it is considered to be a sub acute type of inflammation of brain in which the child experiences an increased thirst."
A-10,Māshrā,"Erysipelas,<em>Māshrā</em> is a <em>Suryānī</em> word which literally means acute inflammation of any part of body due to predominance of <em>Dam</em> (blood/sanguine) and <em>Ṣafrā’</em> (yellow bile). Ancient Unani physicians have used this word for the inflammation of face and forehead. <em>Ibn Sīnā</em> had included this term for the acute inflammation of liver which is caused exclusively by the predominance of <em>Ṣafrā’</em> (yellow bile). But most recent Unani physicians describe this as an acute inflammation of face and forehead in which the face becomes red and swollen accompanied with pain and itching."
A-11,Mā’ al-Ra’s,"Hydrocephalus,Accumulation of fluid in the head. This can be of two types, either the accumulation is beneath the scalp or inside the head. If it occurs inside the head, the patient experiences heaviness of head, eyes remain open with continuous lacrimation and this is usually a fatal condition. When the fluid is accumulated beneath the scalp due to bad obstetric procedure, it is usually curable and subsides gradually (caput succeedenum)."
A-12,Subāt,"Coma,A prolonged phase of deep unconsciousness."
A-12.1,Subāt Sahrī,"Coma vigil,A type of deep sleep with phases of consciousness in between. This type of unconsciousness is due to the predominance of <em>Balgham</em> (phlegm). According to <em>Qarshī</em> and most Unani physicians this is a type of inflammation of brain which is due to predominance of <em>Ṣafrā’</em> (yellow bile) and <em>Balgham</em> (phlegm)."
A-12.2,Subāt Bārid,"coma due to coldness of brain,A type of coma or unconsciousness which is caused either by the exposure of cold environment or by the intake of narcotic drugs."
A-12.3,Subāt Ruṭūbī,"coma due to moistness of brain,A type of coma which is caused by the predominance of <em>Ruṭūbat</em> (moistness) in the body which in turn causes hindrance in the process of oxygenation."
A-12.4,Subāt Damawī,"Sanguineous coma,A type of coma which is caused by the predominance of <em>Dam</em> (blood/sanguine) in the body."
A-12.5,Subāt Bukhārī,"Coma due to vapours,A type of coma which is caused by the gases produced by bad humours of stomach, lungs, intestine and uterus."
A-12.6,Subāt Ḍu‘fī,"coma due to weakness of brain,A type of coma which is caused by the weakness of brain and nerves."
A-12.7,Subāt Ḍarbī,"Traumatic coma,A type of coma due to injury of head and brain especially of temporal region."
A-13,Sahar,"Insomnia,A disease in which the patient remains in wakeful state all the time."
A-13.1,Sahar Yābis,"Insomnia due to dryness,A state of wakefulness which is caused by the predominance of <em>Yubūsat</em> (dryness) either in terms of <em>Mādda</em> or matter i.e. <em>Sawdā’</em> (black bile) and <em>Ṣafrā’</em> (yellow bile) or simple."
A-13.2,Sahar Ruṭūbī,"Insomnia due to moistness,A state of wakefulness which is due to accumulation of <em>Ruṭūbat</em> (moistness) in the brain."
A-14,Nisyān,"Amnesia,A state of forgetfulness."
A-14.1,Nisyān Bārid Raṭb,"forgetfulness due to coldness and moistness/ Reterograde Amnesia,A state of forgetfulness caused by the predominance of <em>Burūdat</em> (coldness) or Ruṭūbat (moistness) which is either simple or compound."
A-14.2,Nisyān Bārid Yābis,"forgetfulness due to coldness and dryness/Anterograde Amnesia,A state of forgetfulness caused by the predominance of <em>Burūdat</em> (coldness) or <em>Yubūsat</em> (dryness)."
A-14.3,Nisyān Ḥārr Yābis,"forgetfulness due to heat and dryness,A state of forgetfulness which is caused by the predominance of <em>Yubūsat</em> (dryness) in the brain tissues. This state is incurable if there is a decrease in tissue of brain."
A-15,Ikhtlāṭ al-Dhahn,"mental derangement,A confused state of mind not reaching the level of <em>Junūn</em>. This is also a type of melancholia."
A-16,Hadhayān,"Delirium,A state of stupor in which the patient talks continuously and irrelevantly."
A-17,Ḥumq,"Dementia,The weakness of the thinking faculties of brain which in turn leads to distraction of mind. These patients can not make a balanced state or equilibrium in social environment. The patient usually makes himself busy in doing irrelevant chores similar to children."
A-18,Ru‘ūnat,"egomania,A type of weakness of the thinking faculties of brain in which the patient becomes egoistic. The patient usually expresses violent behaviour and feels himself superior to others."
A-19,Mālankhūliyā,"Melancholia,This word is a combination of two words. <em>Mālan</em>, meaning black and <em>Khūliyā</em>, meaning <em>Ṣafrā’</em> (yellow bile). According to ancient Unani physicians this is a form of severe depression caused by the accumulation of <em>Muḥtariq Sawdā’</em> (burnt black bile) or <em>Muḥtariq Ṣafrā’</em> (burnt yellow bile) in the brain. Patients experience false perceptions."
A-19.1,Mālankhūliyā Damawī,"Sanguineous melancholia,A type of melancholia caused by the accumulation of <em>Muḥtariq Dam</em> (burnt sanguine) in the brain. It is characterized by redness of eyes, pulsus magnus and confused state of mind along with feeling of happiness."
A-19.2,Mālankhūliyā Balghamī,"Phlegmatic melancholia,A type of melancholia caused by the accumulation of <em>Muḥtariq Balgham</em> (burnt phlegm) in brain. It is characterized by laziness, comparatively cold and clammy skin along with other features of melancholia."
A-19.3,Mālankhūliyā Ṣafrāwī,"Bilious melancholia,A type of melancholia caused by the accumulation of <em>Muḥtariq Ṣafrā’</em> (burnt yellow bile) in brain. It is characterized by insanity, anger, delirium, restlessness and insomnia."
A-19.4,Mālankhūliyā Sawdāwī,"Melancholic melancholia,A type of melancholia caused by the accumulation of <em>Muḥtariq Sawdā’</em> (burnt black bile) and <em>Sawdā’</em> (black bile) in the brain. It is characterized by fear, disturbing thoughts, and crying disposition"
A-19.5,Quṭrub/ ‘Illa al-Dhi’b/ Junūn Dhi’bī,"Lycanthropy,A type of melancholia caused by <em>Muḥtariq Ṣafrā’</em> (burnt yellow bile). It is a chronic condition as its causative humour is more viscous and acute in nature. In this condition patient likes to live in isolation. During the daytime he stays in graveyards and comes out at night. He becomes irritative, emaciated and pale. Sometimes, he attacks other persons due to irritation. He makes noises resembling with dog and cock. Ulcers of calf muscles are also observed in these patients."
A-19.6,Mālankhūliya Marāqī/ Nafkh Marāqī/ Marāqiyya/ ‘Illat Nāfikha/Sharsūfiya,"Psychoneurosis,This type of disorder occurs when burnt humour get accumulated in the peritoneum because of internal heat and leads to the formation of <em>Bukhārāt</em> (gases) of bad quality. These vapours cause the disturbance in the brain."
A-20,Junūn/ Waswās,"Insanity,A disturbed state of mind in which patient becomes insane. In this condition patient develops false perceptions and hallucinations accompanied with behavioural changes. Patient usually indulges in misbehaviour and does not follow discipline."
A-21,Māniyā/ Junūn Saba‘ī,"Psychosis/Mania,A severe form of agitated behaviour."
A-22,Dā’ al-Kalb,"Cynanthropy,A combined state of agitation and relaxation caused by the accumulation of <em>Muḥtariq Sawdā’</em> (burnt black bile) in the brain."
A-23,Ṣubārā,"Maniac phrenitis,An intensely disturbed state of mind accompanied with fever. It is caused by <em>Muḥtariq Ṣafrā’</em> (burnt yellow bile) and resembles very much with <em>Sarsām Ṣafrāwī</em> in terms of fever and the condition of urine."
A-24,‘Ishq,"Erotomania,A type of hallucination which resembles <em>Mālankhūliyā</em>. In this condition, patient usually visualises the picture or thought of his beloved person in order to feel him/her."
A-25,Sadr-o-Duwār,"Vertigo and giddiness,Sadr is a disease of brain in which the person experiences darkness on standing. This condition usually accompanies with heaviness of head, tinnitus and confusion. <em>Duwār</em> is similar to <em>Sadr</em> but in this condition the patients feel giddiness also."
A-25.1,Sadr-o-Duwār Dimāghī Damawī,"Sanguineous vertigo and giddiness,A type of vertigo and giddiness caused by the accumulation of <em>Dam</em> (blood /sanguine) in the brain itself. It is characterized by frequent episodes of giddiness, flushing of face, redness of eyes and elevated temperature of head. Initially, it is accompanied with lacrimation."
A-25.2,Sadr-o-Duwār Dimāghī Balghamī,"Phlegmatic vertigo and giddiness,Mostly it occurs due to the accumulation of <em>Balgham</em> (phlegm) in the brain. It is characterized by vertigo and giddiness along with heaviness of head, increased salivation, decreased thirst, altered sensorium, increased sleep and pulsus mollis."
A-25.3,Sadr-o-Duwār Dimāghī Ṣafrāwī,"Bilious vertigo and giddiness,A type of vertigo and giddiness caused by the accumulation of <em>Ṣafrā’</em> (yellow bile) in the brain. It is characterized by vertigo and giddiness along with pale face, bitter taste, pulsus velox and thirst."
A-25.4,Sadr-o-Duwār Dimāghī Sawdāwī,"Melancholic vertigo and giddiness,A type of vertigo and giddiness caused by the accumulation of <em>Sawdā’</em> (black bile) in the brain. It is characterized by excessive thoughts and sleeplessness, pulsus debilis and pulses durus."
A-25.5,Sadr-o-Duwār Shirkī,"Secondary vertigo and giddiness,The state of Sadr and <em>Duwār</em> which comes as a complication of some other systemic diseases."
A-26,Lawā-o-Fayḥadhaj/ Bījīdhaq/ Al-Lawā,"excessive lethargy and fatigue,<em>Lawā</em> is a condition which occurs in persons who lead a sedentary life and take alcohol along with rich diet. In these persons, there is an excessive accumulation of gases in the body which in turn leads to heaviness of heart, increased fatigue and lethargy."
A-27,Kābūs/ Al-Khāniq/ Al-Jāthūm wa’l Nīdlān/ Khānūq/ Ḍāghūṭ,"Nightmare/Incubus,Its literal meaning is to create pressure. In this condition patient feels pressure on his chest in lying posture while asleep. He feels choked and asphyxiated."
A-27.1,Kābūs Damawī,"Sanguineous nightmare,It is caused by the vapours arising out of thick <em>Dam</em> (sanguine). It is characterized by redness of body, eyes and imagery of red colored objects along with other symptoms of <em>Kābūs</em>."
A-27.2,Kābūs Balghamī,"Phlegmatic nightmare,It is caused by the vapours arising out of thick phlegm towards already weakened brain. Apart from all the symptoms of <em>Kābūs</em> it is characterized by lethargy, imagery of white/green colored objects."
